Best for data1.txt H=4: error=9, iterations=17192
Iteration 12000: loss 0.19694 errors 10
Iteration 13000: loss 0.19682 errors 9
Iteration 14000: loss 0.19672 errors 9
Iteration 1000: loss 0.21338 errors 10
Iteration 2000: loss 0.20676 errors 11
Iteration 3000: loss 0.20329 errors 10
Iteration 4000: loss 0.20111 errors 10
Iteration 5000: loss 0.19963 errors 10
Iteration 6000: loss 0.19858 errors 10
Iteration 7000: loss 0.19779 errors 10
Iteration 8000: loss 0.19719 errors 10
Iteration 9000: loss 0.19672 errors 10
Iteration 10000: loss 0.19634 errors 10
Iteration 11000: loss 0.19602 errors 10
Iteration 12000: loss 0.19576 errors 10
Iteration 13000: loss 0.19555 errors 10
Iteration 14000: loss 0.19536 errors 10
Iteration 15000: loss 0.19520 errors 9
Iteration 16000: loss 0.19506 errors 9
Iteration 17000: loss 0.19494 errors 9
Iteration 18000: loss 0.19482 errors 9
Iteration 19000: loss 0.19472 errors 9
Iteration 20000: loss 0.19463 errors 9
Iteration 1000: loss 0.22885 errors 10
Iteration 2000: loss 0.21651 errors 10
Iteration 3000: loss 0.21030 errors 10
Iteration 4000: loss 0.20644 errors 9
Iteration 5000: loss 0.20399 errors 9
Iteration 6000: loss 0.20223 errors 9
Iteration 7000: loss 0.20093 errors 10
Iteration 8000: loss 0.19994 errors 10
Iteration 9000: loss 0.19919 errors 10
Iteration 10000: loss 0.19860 errors 10
Iteration 11000: loss 0.19813 errors 10
Iteration 12000: loss 0.19774 errors 10
Iteration 13000: loss 0.19742 errors 10
Iteration 14000: loss 0.19715 errors 10
Iteration 15000: loss 0.19693 errors 10
Iteration 16000: loss 0.19675 errors 10
Iteration 17000: loss 0.19659 errors 10
Iteration 18000: loss 0.19646 errors 10
Iteration 19000: loss 0.19634 errors 10
Iteration 20000: loss 0.19624 errors 10
Iteration 1000: loss 0.35351 errors 14
Iteration 2000: loss 0.32844 errors 14
Iteration 3000: loss 0.31745 errors 14
Iteration 4000: loss 0.31134 errors 13
Iteration 5000: loss 0.30334 errors 12
Iteration 6000: loss 0.28766 errors 10
Iteration 7000: loss 0.27299 errors 10
Iteration 8000: loss 0.26150 errors 10
Iteration 9000: loss 0.25231 errors 10
Iteration 10000: loss 0.24484 errors 10
Iteration 11000: loss 0.23881 errors 10
Iteration 12000: loss 0.23394 errors 9
Iteration 13000: loss 0.23028 errors 9
Iteration 14000: loss 0.22736 errors 9
Iteration 15000: loss 0.22494 errors 8
Iteration 16000: loss 0.22290 errors 8
Iteration 17000: loss 0.22117 errors 7
Iteration 18000: loss 0.21975 errors 7
Iteration 19000: loss 0.21855 errors 7
Iteration 20000: loss 0.21751 errors 7
Iteration 1000: loss 0.27120 errors 8
Iteration 2000: loss 0.24453 errors 7
Iteration 3000: loss 0.23391 errors 8
Iteration 4000: loss 0.22800 errors 8
Iteration 5000: loss 0.22422 errors 8
Iteration 6000: loss 0.22154 errors 8
Iteration 7000: loss 0.21952 errors 8
Iteration 8000: loss 0.21793 errors 8
Iteration 9000: loss 0.21666 errors 8
Iteration 10000: loss 0.21563 errors 8
Iteration 11000: loss 0.21478 errors 8
Iteration 12000: loss 0.21405 errors 8
Iteration 13000: loss 0.21342 errors 8
Iteration 14000: loss 0.21286 errors 8
Iteration 15000: loss 0.21236 errors 8
Iteration 16000: loss 0.21191 errors 8
Iteration 17000: loss 0.21150 errors 8
Iteration 18000: loss 0.21112 errors 8
Iteration 19000: loss 0.21078 errors 8
Iteration 20000: loss 0.21046 errors 8
Best for data3.txt H=4: error=7, iterations=16277
Iteration 1000: loss 0.20863 errors 9
Iteration 2000: loss 0.20100 errors 8
Iteration 3000: loss 0.19770 errors 9
Iteration 4000: loss 0.19604 errors 9
Iteration 5000: loss 0.19489 errors 10
Iteration 6000: loss 0.19402 errors 10
Iteration 7000: loss 0.19331 errors 10
Iteration 8000: loss 0.19272 errors 9
Iteration 9000: loss 0.19226 errors 9
